,person,gender,age,income,age_segment,income_segment
0,78afa995795e4d85b5d9ceeca43f5fef,F,75.0,100000.0,Senior,High Income
1,a03223e636434f42ac4c3df47e8bac43,Unknown,55.0,64000.0,Middle Age,Medium Income
2,e2127556f4f64592b11af22de27a7932,M,68.0,70000.0,Senior,Medium Income
3,8ec6ce2a7e7949b1bf142def7d0e0586,Unknown,55.0,64000.0,Middle Age,Medium Income
4,68617ca6246f4fbc85e91a2a49552598,Unknown,55.0,64000.0,Middle Age,Medium Income
5,389bc3fa690240e798340f5a15918d5c,M,65.0,53000.0,Senior,Medium Income
6,c4863c7985cf408faee930f111475da3,Unknown,55.0,64000.0,Middle Age,Medium Income
7,2eeac8d8feae4a8cad5a6af0499a211d,M,58.0,51000.0,Middle Age,Medium Income
8,aa4862eba776480b8bb9c68455b8c2e1,F,61.0,57000.0,Senior,Medium Income
9,31dda685af34476cad5bc968bdb01c53,F,62.0,71000.0,Senior,Medium Income
10,744d603ef08c4f33af5a61c8c7628d1c,Unknown,55.0,64000.0,Middle Age,Medium Income
11,3d02345581554e81b7b289ab5e288078,Unknown,55.0,64000.0,Middle Age,Medium Income
12,4b0da7e80e5945209a1fdddfe813dbe0,M,64.0,100000.0,Senior,High Income
13,c27e0d6ab72c455a8bb66d980963de60,F,78.0,71000.0,Senior,Medium Income
14,d53717f5400c4e84affdaeda9dd926b3,F,88.0,53000.0,Senior,Medium Income
15,f806632c011441378d4646567f357a21,M,42.0,69000.0,Middle Age,Medium Income
16,d058f73bf8674a26a95227db098147b1,F,56.0,88000.0,Middle Age,High Income
17,65aba5c617294649aeb624da249e1ee5,Unknown,55.0,64000.0,Middle Age,Medium Income
18,ebe7ef46ea6f4963a7dd49f501b26779,M,59.0,41000.0,Middle Age,Low Income
19,1e9420836d554513ab90eba98552d0a9,M,22.0,70000.0,Young,Medium Income
20,868317b9be554cb18e50bc68484749a2,F,96.0,89000.0,Senior,High Income
21,f082d80f0aac47a99173ba8ef8fc1909,M,40.0,33000.0,Middle Age,Low Income
22,102e9454054946fda62242d2e176fdce,F,69.0,57000.0,Senior,Medium Income
23,4beeb3ed64dd4898b0edf2f6b67426d3,Unknown,55.0,64000.0,Middle Age,Medium Income
24,9f30b375d7bd4c62a884ffe7034e09ee,F,26.0,63000.0,Young,Medium Income
25,25c906289d154b66bf579693f89481c9,Unknown,55.0,64000.0,Middle Age,Medium Income
26,6e014185620b49bd98749f728747572f,M,75.0,40000.0,Senior,Low Income
